asset_description,asset_abbreviation,system,ifc_class,ifc_type,haystack_tag,brick_parent,brick_child,uniclass_parent,uniclass_product,uniclass_code
electrical switch - sectionalizer switch,SCS,Electrical,IfcSwitchingDevice,SELECTORSWITCH	,,,,,,
electronic key cabinet,EKC,Security,IfcFurniture,NOTDEFINED,,,,,,
evaporator,EEW,PH,IfcSanitaryTerminal,SANITARYFOUNTAIN,,Emergency Wash Station,Eye Wash Station,,,
evaporator,EVP,HVAC,IfcEvaporator,NOTDEFINED,evaporator,,,,,
fan,FAN,HVAC,IfcFan,NOTDEFINED,fan,Fan,,Air and fume distribution products,Fans,Pr_65_67_29
fan - cooling tower fan,CTF,HVAC,IfcFan,NOTDEFINED,fan,Fan,Cooling Tower Fan,,,
fan - exhaust fan,EF,HVAC,IfcFan,NOTDEFINED,fan,Fan,Exhaust Fan,,,
fan - fume hood exhaust fan,FHEX,HVAC,IfcDamper,FUMEHOODEXHAUST,fumeHood,Fume Hood,,,,
fan - garage / car park supply fan,GSF,HVAC,IfcFan,NOTDEFINED,fan,Fan,,,,
fan - garage / car park transfer fan,GTF,HVAC,IfcFan,NOTDEFINED,fan,Fan,,,,
fan - kitchen exhaust fan,KEF,HVAC,IfcFan,NOTDEFINED,fan,Fan,Exhaust Fan,,,
fan - relief fan,RLF,HVAC,IfcFan,NOTDEFINED,fan,Fan,,,,
fan - return fan,RTF,HVAC,IfcFan,NOTDEFINED,fan,Fan,Return Fan,,,
fan - smoke exhaust fan,SEF,"HVAC, Fire",IfcFan,NOTDEFINED,fan,Fan,Exhaust Fan,,,
fan - stairwell pressurization fan,SPF,"HVAC, Fire",IfcFan,NOTDEFINED,fan,Fan,,,,
fan - supply fan,SF,HVAC,IfcFan,NOTDEFINED,fan,Fan,Supply Fan,,,
fan - transfer fan,TF,HVAC,IfcFan,NOTDEFINED,fan,Fan,,,,
fan coil unit,FCU,HVAC,IfcUnitaryEquipment,NOTDEFINED,fcu,FCU,"FCU, Fan Coil Unit",Air conditioning units,Fan coil units,Pr_70_65_03_29
filter - air separator,AS,"HVAC, PH",IfcFlowTreatmentDevice,,,,,,,
filter - cooling tower filtration unit,CTFU,HVAC,IfcUnitaryEquipment,NOTDEFINED,,,,,,
filter - cooling tower sand filter,CTSF,HVAC,IfcFilter,NOTDEFINED,filter,Filter,,,,
filter - cooling tower separator,CTSEP,HVAC,IfcFilter,NOTDEFINED,filter,Filter,,Heating and cooling source products,"Chillers and cooling towers
","Pr_60_60_13"
filter - cooling tower separator / sand separator,CTSSEP,HVAC,IfcFilter,NOTDEFINED,,,,,,
filter - degasser filter,DGA,HVAC,IfcFilter,NOTDEFINED,tank,,,,,
filter - pollution control unit,PCU,HVAC,IfcFilter,AIRPARTICLEFILTER,filter,Filter,,,,
filter - process filtration unit,PFU,HVAC,IfcUnitaryEquipment,NOTDEFINED,,,,,,
filter - reverse osmosis system,RO,"HVAC, PH",,,,,,,,
filter - side stream water filters,SSFLT,"HVAC, PH",IfcFilter,NOTDEFINED,filter,Filter,,Water filters and strainers,Side stream water filters,Pr_65_57_96_77
filter - vacuum system filter,VSFLT,"HVAC, PH",IfcFilter,NOTDEFINED,filter,Filter,,,,
filter - water - reverse rinsing filter,RRFLT,"HVAC, PH",IfcFilter,NOTDEFINED,filter,Filter,,,,
fire - break glass unit,BGU,Fire,IfcAlarm,BREAKGLASSBUTTON,,,,,,
fire suppression terminal - sprinkler head,SPH,Fire,IfcFireSuppressionTerminal,SPRINKLER,,Fire Safety Equipment,,Water fire extinguishing outlets,Sprinkler heads,Pr_70_55_97_84
generator - clean steam generators,CSG,HVAC,,,,,,Steam generators,Clean steam generators,Pr_60_60_84_14
generator - electricity generator,GEN,Electrical,IfcElectricGenerator,ENGINEGENERATOR,,,,"Power generators, engines and packaged combined heat and power (CHP) units",Generator sets,Pr_60_70_65_34
